Renters_percent,avgCommuteTime,medHouseIncome,medianSalePrice,neighborhood,url_OwnersvsRenters
,,,0,Pill Hill,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403363&regionType=8&service=chart
,,,0,Gladstone Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403285&regionType=8&service=chart
,,,0,South Commons,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403345&regionType=8&service=chart
,,,0,Chrysler Village,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403336&regionType=8&service=chart
,,,0,East Pilsen,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403331&regionType=8&service=chart
,,,0,Peterson Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403256&regionType=8&service=chart
,,,0,Ravenswood Gardens,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403261&regionType=8&service=chart
,,,0,Parkview,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403365&regionType=8&service=chart
,,,0,Ford City,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403338&regionType=8&service=chart
,,,0,Sleepy Hollow,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403335&regionType=8&service=chart
,,,0,Golden Gate,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403380&regionType=8&service=chart
,,,0,Beverly Woods,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403372&regionType=8&service=chart
,,,0,Greektown,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403320&regionType=8&service=chart
